name,label
projects/projects_201601.csv,2016-01
projects/projects_201602.csv,2016-02
projects/projects_201603.csv,2016-03
projects/projects_201604.csv,2016-04
projects/projects_201605.csv,2016-05
projects/projects_201606.csv,2016-06
projects/projects_201607.csv,2016-07
projects/projects_201608.csv,2016-08
projects/projects_201609.csv,2016-09
projects/projects_201610.csv,2016-10
projects/projects_201611.csv,2016-11
projects/projects_201612.csv,2016-12
projects/projects_201701.csv,2017-01
projects/projects_201702.csv,2017-02
projects/projects_201703.csv,2017-03
projects/projects_201704.csv,2017-04
